code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
600415,小商品城,CN,SSE,SW_UNKNOWN,False,2002-05-09T00:00:00.000,57796714242.04,57796714242.04,10.54,738432990.0,13.688,2.421,False,False,False,True,738432990.0,20.0,True,False,False,True,0.1753,0.3144441569,0.21094463,0.4813992787,2.5048397403,True,0.3984541539,0.3531383969,SW_UNKNOWN,0.0440528634,0.1821766441,0.343836886,0.4916589435,0.0106729914,107
600483,福能股份,CN,SSE,SW_UNKNOWN,False,2004-05-31T00:00:00.000,31026337848.0,31026337848.0,11.16,506781777.0,10.528,1.114,False,False,False,True,506781777.0,20.0,True,False,False,True,0.1127,0.2873995887,0.2150570778,0.418152032,1.7277345355,True,0.0754658252,0.1461231865,SW_UNKNOWN,0.0316308244,0.1646738554,0.2873030584,0.1510658017,0.0106729914,107
600600,青岛啤酒,CN,SSE,SW_UNKNOWN,False,1993-08-27T00:00:00.000,73530117021.9,38221888327.700005,53.9,589790807.0,16.027,2.267,False,False,False,True,589790807.0,20.0,True,False,False,True,0.155,0.4184441625,0.1412875739,0.3955258515,1.000960782,True,0.0318648415,0.1582166939,SW_UNKNOWN,0.0435992579,0.0624575274,0.3832252085,0.4610750695,0.0106729914,107
600933,爱柯迪,CN,SSE,SW_UNKNOWN,False,2017-11-17T00:00:00.000,16204008496.39,15431335213.580002,15.73,285288597.0,13.331,1.648,False,False,False,True,285288597.0,20.0,True,False,False,True,0.1321,0.297722671,0.1580253307,0.4047107483,1.72867364,True,0.2340250847,0.2242905126,SW_UNKNOWN,0.0267201069,0.1249745444,0.3359592215,0.3188137164,0.0106729914,107
600938,中国海油,CN,SSE,SW_UNKNOWN,False,2022-04-21T00:00:00.000,1459169587308.7998,91793000000.0,30.7,1388367780.0,11.946,1.743,False,False,False,True,1388367780.0,20.0,True,False,False,True,0.1564,0.514687861,0.3065692331,0.2670543867,1.7123081208,True,0.2071173812,0.3736998515,SW_UNKNOWN,0.0161814658,0.1432609354,0.3113994439,0.3419833179,0.0106729914,107
600993,马应龙,CN,SSE,SW_UNKNOWN,False,2004-05-17T00:00:00.000,9733196858.78,9716332421.28,22.58,112076755.0,16.726,2.119,False,False,False,True,112076755.0,20.0,True,False,False,True,0.1377,0.4918562526,0.1503882311,0.1695078649,1.032585095,True,0.0673224559,0.0677116293,SW_UNKNOWN,0.0310008857,0.0616899427,0.3924930491,0.4323447637,0.0106729914,107
601088,中国神华,CN,SSE,SW_UNKNOWN,False,2007-10-09T00:00:00.000,894906059383.04,680420226023.3,41.26,2268592516.0,15.511,1.861,False,False,False,True,2268592516.0,20.0,True,False,False,True,0.1276,0.3507812394,0.179200179,0.2330664058,1.420253931,True,0.0480222321,0.0617362381,SW_UNKNOWN,0.0249636452,0.083873608,0.37442076,0.3716404078,0.0106729914,107
601900,南方传媒,CN,SSE,SW_UNKNOWN,False,2016-02-15T00:00:00.000,10072098473.48,10072098473.48,11.42,52260096.0,9.678,1.103,False,False,False,True,52260096.0,20.0,True,False,False,True,0.1219,0.3621769266,0.1207805076,0.4601184273,1.6448505688,True,0.0459824679,0.0652261561,SW_UNKNOWN,0.0490367776,0.1703253109,0.2687673772,0.1473586654,0.0106729914,107
601965,中国汽研,CN,SSE,SW_UNKNOWN,False,2012-06-11T00:00:00.000,12914111224.56,12859465763.76,12.88,181061392.0,12.151,1.614,False,False,False,True,181061392.0,20.0,True,False,False,True,0.1431,0.4587973046,0.2129546493,0.3133571425,1.1602788871,True,0.0776085192,0.1362621703,SW_UNKNOWN,0.0186335404,0.0950278933,0.3146431881,0.3095458758,0.0106729914,107
603277,银都股份,CN,SSE,SW_UNKNOWN,False,2017-09-11T00:00:00.000,6143130043.049999,6103557710.25,10.01,31519413.0,12.513,2.154,False,False,False,True,31519413.0,20.0,True,False,False,True,0.1694,0.4254525394,0.1783102505,0.3290646515,0.8947155951,True,0.1107589353,0.0940372162,SW_UNKNOWN,0.0303555941,0.0708853189,0.3211306766,0.4397590361,0.0106729914,107
603568,伟明环保,CN,SSE,SW_UNKNOWN,False,2015-05-28T00:00:00.000,33634873193.02,33574217081.02,16.39,162692167.0,12.511,2.195,False,False,False,True,162692167.0,20.0,True,False,False,True,0.1572,0.5087559777,0.3549689075,0.4393702146,1.455578705,True,0.1482846698,0.1197730169,SW_UNKNOWN,0.0310237849,0.0957908574,0.3206672845,0.4462465246,0.0106729914,107
603658,安图生物,CN,SSE,SW_UNKNOWN,False,2016-09-01T00:00:00.000,17422741176.32,17422741176.32,30.49,55820102.0,16.305,1.902,False,False,False,True,55820102.0,20.0,True,False,False,True,0.1225,0.6563751227,0.2527004337,0.2663593792,1.2562369614,True,0.0725205329,0.0738885552,SW_UNKNOWN,0.0390811456,0.0770075012,0.3869323448,0.3799814643,0.0106729914,107
603816,顾家家居,CN,SSE,SW_UNKNOWN,False,2016-10-14T00:00:00.000,19616262273.72,19394529596.28,23.88,328799896.0,10.855,1.77,False,False,False,True,328799896.0,20.0,True,False,False,True,0.1768,0.3276312932,0.0892506106,0.4274654095,1.5498025201,True,0.0962830886,0.1618590597,SW_UNKNOWN,0.0577889447,0.1414243001,0.2924003707,0.3466172382,0.0106729914,107
