code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
600933,爱柯迪,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,15946463561.4,15186070527.84,15.48,188720674.0,13.119,1.622,False,False,False,True,188720674.0,20.0,True,False,False,True,0.1321,0.297722671,0.1580253307,0.4047107483,1.72867364,True,0.2340250847,0.2242905126,SW_UNKNOWN,0.0256245996,0.1269929581,0.3178869323,0.2849860982,0.0120452903,115
600938,中国海油,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,1719158435601.3,108148300000.0,36.17,1848695627.0,14.074,2.054,False,False,False,True,1848695627.0,20.0,True,False,False,True,0.1564,0.514687861,0.3065692331,0.2670543867,1.7123081208,True,0.2071173812,0.3736998515,SW_UNKNOWN,0.0141208357,0.121595541,0.3350324374,0.3948100093,0.0120452903,115
600993,马应龙,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,10276324761.44,10258519261.44,23.84,85122497.0,17.659,2.238,False,False,False,True,85122497.0,20.0,True,False,False,True,0.1377,0.4918562526,0.1503882311,0.1695078649,1.032585095,True,0.0673224559,0.0677116293,SW_UNKNOWN,0.0287828947,0.0584294844,0.390639481,0.4360518999,0.0120452903,115
601083,锦江航运,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,14636497200.0,2195497200.0,11.31,61858166.0,9.75,1.512,False,False,False,True,61858166.0,20.0,True,False,False,True,0.1663,0.318157468,0.2140114621,0.2069466342,1.6550611741,True,0.1537133497,0.2638040832,SW_UNKNOWN,0.0531711555,0.1696523937,0.2683039852,0.2479147359,0.0120452903,115
601088,中国神华,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,1059528865750.4,805587204101.75,48.85,1867558611.0,18.365,2.203,False,False,False,True,1867558611.0,20.0,True,False,False,True,0.1276,0.3507812394,0.179200179,0.2330664058,1.420253931,True,0.0480222321,0.0617362381,SW_UNKNOWN,0.0213515755,0.0708418642,0.4022242817,0.4277108434,0.0120452903,115
601567,三星电气,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,22342829460.0,22342829460.0,15.9,223781560.0,17.667,1.911,False,False,False,True,223781560.0,20.0,True,False,False,True,0.1059,0.2795986614,0.08871119,0.5433424457,1.3904835379,True,0.1515242654,0.0590799147,SW_UNKNOWN,0.0202083333,0.0792836614,0.391102873,0.3582020389,0.0120452903,115
601900,南方传媒,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,10433706212.02,10433706212.02,11.83,67421264.0,10.025,1.142,False,False,False,True,67421264.0,20.0,True,False,False,True,0.1219,0.3621769266,0.1207805076,0.4601184273,1.6448505688,True,0.0459824679,0.0652261561,SW_UNKNOWN,0.0462427746,0.1644222358,0.2701575533,0.1353104727,0.0120452903,115
601965,中国汽研,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,15848267214.599998,15774810486.6,15.8,94169754.0,14.906,1.98,False,False,False,True,94169754.0,20.0,True,False,False,True,0.1431,0.4587973046,0.2129546493,0.3133571425,1.1602788871,True,0.0776085192,0.1362621703,SW_UNKNOWN,0.0150753769,0.0774343824,0.3489341983,0.3725671918,0.0120452903,115
603181,皇马科技,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,7976885000.0,7976885000.0,13.55,53873296.0,17.829,2.207,False,False,False,True,53873296.0,20.0,True,False,False,True,0.1332,0.2620369098,0.1815859551,0.2015069115,1.033083153,True,0.0432000299,0.0639399209,SW_UNKNOWN,0.0166007905,0.0565445618,0.3943466172,0.4286376274,0.0120452903,115
603202,天有为,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,10411200000.0,3267397130.04,65.07,39037877.0,10.345,1.515,False,False,False,True,39037877.0,20.0,True,False,False,True,0.1623,0.3450633576,0.2306236166,0.2459480394,1.1578927207,True,0.3375419494,0.9047554689,SW_UNKNOWN,0.0227583068,0.1025332858,0.2729379055,0.2488415199,0.0120452903,115
603391,力聚热能,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,5251610000.0,1312902500.0,57.71,66399646.0,23.27,2.315,False,False,False,True,66399646.0,20.0,True,False,False,True,0.1037,0.4001204747,0.1985206508,0.3258063746,1.5316559576,True,0.1091455017,0.0423508333,SW_UNKNOWN,0.0232883093,0.0658868766,0.4698795181,0.4508804449,0.0120452903,115
603568,伟明环保,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,30289853747.88,30235229939.879997,14.76,128538405.0,11.267,1.977,False,False,False,True,128538405.0,20.0,True,False,False,True,0.1572,0.5087559777,0.3549689075,0.4393702146,1.455578705,True,0.1482846698,0.1197730169,SW_UNKNOWN,0.0310237849,0.1063693925,0.2854494903,0.3702502317,0.0120452903,115
603658,安图生物,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,17759881789.44,17759881789.44,31.08,72032511.0,16.62,1.938,False,False,False,True,72032511.0,20.0,True,False,False,True,0.1225,0.6563751227,0.2527004337,0.2663593792,1.2562369614,True,0.0725205329,0.0738885552,SW_UNKNOWN,0.0320529127,0.0755456471,0.3772011121,0.3632993513,0.0120452903,115
603816,顾家家居,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,24084958537.08,23812713892.92,29.32,208698036.0,13.327,2.173,False,False,False,True,208698036.0,20.0,True,False,False,True,0.1768,0.3276312932,0.0892506106,0.4274654095,1.5498025201,True,0.0962830886,0.1618590597,SW_UNKNOWN,0.0469547465,0.1151845937,0.3215940686,0.422150139,0.0120452903,115
605338,巴比食品,CN,SSE,SW_UNKNOWN,False,1900-01-01T00:00:00.000,5150683233.0,5150683233.0,21.5,40846876.0,18.86,2.16,False,False,False,True,40846876.0,20.0,True,False,False,True,0.1197,0.285399358,0.1468702347,0.185307128,1.1698598479,True,0.1377562986,0.0924613424,SW_UNKNOWN,0.0512382579,0.062014588,0.4096385542,0.4189063948,0.0120452903,115
